month,year,foreclosure,date
1,2010,507,Jan 2010
2,2010,369,Feb 2010
3,2010,528,Mar 2010
4,2010,469,Apr 2010
5,2010,488,May 2010
6,2010,511,Jun 2010
7,2010,500,Jul 2010
8,2010,569,Aug 2010
9,2010,565,Sep 2010
10,2010,566,Oct 2010
11,2010,524,Nov 2010
12,2010,519,Dec 2010
1,2011,349,Jan 2011
2,2011,333,Feb 2011
3,2011,302,Mar 2011
4,2011,286,Apr 2011
5,2011,273,May 2011
6,2011,289,Jun 2011
7,2011,256,Jul 2011
8,2011,314,Aug 2011
9,2011,282,Sep 2011
10,2011,321,Oct 2011
11,2011,310,Nov 2011
12,2011,293,Dec 2011
1,2012,293,Jan 2012
2,2012,251,Feb 2012
3,2012,301,Mar 2012
4,2012,240,Apr 2012
5,2012,271,May 2012
6,2012,273,Jun 2012
7,2012,259,Jul 2012
8,2012,274,Aug 2012
9,2012,249,Sep 2012
10,2012,271,Oct 2012
11,2012,247,Nov 2012
12,2012,271,Dec 2012
1,2013,234,Jan 2013
2,2013,206,Feb 2013
3,2013,220,Mar 2013
4,2013,246,Apr 2013
5,2013,293,May 2013
6,2013,270,Jun 2013
7,2013,318,Jul 2013
8,2013,349,Aug 2013
9,2013,289,Sep 2013
10,2013,283,Oct 2013
11,2013,210,Nov 2013
12,2013,208,Dec 2013
1,2014,162,Jan 2014
2,2014,145,Feb 2014
3,2014,165,Mar 2014
4,2014,203,Apr 2014
5,2014,207,May 2014
6,2014,230,Jun 2014
7,2014,260,Jul 2014
8,2014,249,Aug 2014
9,2014,225,Sep 2014
10,2014,238,Oct 2014
11,2014,183,Nov 2014
12,2014,240,Dec 2014
1,2015,161,Jan 2015
2,2015,135,Feb 2015
3,2015,173,Mar 2015
4,2015,173,Apr 2015
5,2015,177,May 2015
6,2015,213,Jun 2015
7,2015,166,Jul 2015
8,2015,146,Aug 2015
9,2015,159,Sep 2015
10,2015,171,Oct 2015
11,2015,109,Nov 2015
12,2015,148,Dec 2015
1,2016,103,Jan 2016
2,2016,116,Feb 2016
3,2016,140,Mar 2016
4,2016,119,Apr 2016
5,2016,136,May 2016
6,2016,140,Jun 2016
7,2016,117,Jul 2016
8,2016,103,Aug 2016
9,2016,136,Sep 2016
10,2016,119,Oct 2016
11,2016,105,Nov 2016
12,2016,99,Dec 2016
1,2017,58,Jan 2017
2,2017,51,Feb 2017
3,2017,84,Mar 2017
4,2017,81,Apr 2017
5,2017,96,May 2017
6,2017,107,Jun 2017
7,2017,87,Jul 2017
8,2017,86,Aug 2017
9,2017,67,Sep 2017
10,2017,68,Oct 2017
11,2017,63,Nov 2017
12,2017,79,Dec 2017
1,2018,55,Jan 2018
2,2018,44,Feb 2018
3,2018,40,Mar 2018
4,2018,48,Apr 2018
5,2018,52,May 2018
6,2018,33,Jun 2018
7,2018,41,Jul 2018
8,2018,25,Aug 2018
9,2018,19,Sep 2018
10,2018,15,Oct 2018
11,2018,12,Nov 2018
12,2018,12,Dec 2018
1,2019,5,Jan 2019
2,2019,2,Feb 2019